bibid	title	resource type	sub-resource type	taxonomy	
4004406	Knovel	ebook	package	General Astronomy	
4004406	Knovel	ebook	package	General Physics	
4004406	Knovel	ebook	package	General Chemistry	
6992496	NANOnetBASE	ebook	package	Nanoscience & Nanobiotechnology	
6992496	NANOnetBASE	ebook	package	General Chemistry	
6992496	NANOnetBASE	ebook	package	General Physics	
7493388	RSC ebook collection	ebook	package	General Chemistry	
7526121	SIAM ebooks	ebook	package	Mathematical Physics	
7526121	SIAM ebooks	ebook	package	General Physics	
7526121	SIAM ebooks	ebook	package	General Astronomy	
7526126	SPIE ebooks	ebook	package	"Optical Physics, Quantum Electronics, Photonics"	
7526126	SPIE ebooks	ebook	package	General Physics	
7526126	SPIE ebooks	ebook	package	General Astronomy	
7493018	Springer ebook collection	ebook	package	General Physics	
7493018	Springer ebook collection	ebook	package	General Chemistry	
7493018	Springer ebook collection	ebook	package	General Astronomy	
3962042	Books24x7	ebook	package	Information Technology	
5070030	Safari Books Online	ebook	package	Information Technology	
6878519	ACS symposium series	ebook	package	General Chemistry	
7526137	MyiLibrary	ebook	package	General Physics	
7526137	MyiLibrary	ebook	package	General Chemistry	
7526137	MyiLibrary	ebook	package	General Astronomy	
7484971	Hathi Trust digital library	ebook	package	General Physics	
7484971	Hathi Trust digital library	ebook	package	General Chemistry	
7484971	Hathi Trust digital library	ebook	package	General Astronomy	
7485059	Google books	ebook	package	General Physics	
7485059	Google books	ebook	package	General Chemistry	
7485059	Google books	ebook	package	General Astronomy	
